decade,term,rank,neighbor,similarity
1990s,china,1.0,chinese,0.6384302164390215
1990s,china,2.0,chinas,0.5868012246790074
1990s,china,3.0,hong_kong,0.5846294267003098
1990s,china,4.0,trade,0.5658724310080381
1990s,china,5.0,us,0.5528541837230629
1990s,china,6.0,political,0.5465049966632205
1990s,china,7.0,beijing,0.5382406130818012
1990s,china,8.0,world,0.5304319160744084
1990s,china,9.0,american,0.5248645774753083
1990s,china,10.0,international,0.5223512648379919
1990s,china,11.0,photo,0.5215802654149926
1990s,china,12.0,human_rights,0.5163102162580316
1990s,china,13.0,government,0.5140030002776422
1990s,china,14.0,says,0.5123383793534538
1990s,china,15.0,united_states,0.5122678077285094
1990s,china,16.0,pres,0.4973140533283431
1990s,china,17.0,clinton,0.4957962726445353
1990s,china,18.0,economic,0.4937194021821629
1990s,china,19.0,first,0.4814174967934674
1990s,china,20.0,relations,0.4764362835499186
1990s,trade,1.0,international,0.5946502703891555
1990s,trade,2.0,world_trade_organization,0.5934523126892065
1990s,trade,3.0,human_rights,0.589172822715236
1990s,trade,4.0,relations,0.5855251853160229
1990s,trade,5.0,us,0.5719122768096488
1990s,trade,6.0,china,0.5658724310080381
1990s,trade,7.0,world,0.5629581051630973
1990s,trade,8.0,market,0.5322712938228586
1990s,trade,9.0,united_states,0.5287370026951643
1990s,trade,10.0,comments,0.5265603775735139
1990s,trade,11.0,economic,0.5243824091228876
1990s,trade,12.0,promote,0.5223000875859027
1990s,trade,13.0,status,0.5101449531925282
1990s,trade,14.0,entry,0.5082584191546401
1990s,trade,15.0,discussed,0.5052257512056737
1990s,trade,16.0,issues,0.4927941276014317
1990s,trade,17.0,abuses,0.48942946128378917
1990s,trade,18.0,officials,0.4856619801522076
1990s,trade,19.0,negotiator,0.4854633451793532
1990s,trade,20.0,chinas,0.4787922275499933
1990s,market,1.0,stocks,0.6566924226994226
1990s,market,2.0,stock,0.6247083653484521
1990s,market,3.0,investments,0.6148646004218339
1990s,market,4.0,systems,0.6093268656699367
1990s,market,5.0,companies,0.5817947766659699
1990s,market,6.0,shares,0.5776778143302674
1990s,market,7.0,investors,0.5725342826438464
1990s,market,8.0,world,0.5649522668225451
1990s,market,9.0,bonds,0.563855388759902
1990s,market,10.0,chinainternational,0.5519732080352139
1990s,market,11.0,trends,0.546661087706704
1990s,market,12.0,bermuda,0.5424451607466169
1990s,market,13.0,sales,0.539345544514258
1990s,market,14.0,computers,0.5366677016495721
1990s,market,15.0,conditions,0.533495908969917
1990s,market,16.0,dragon,0.5326730845718161
1990s,market,17.0,trade,0.5322712938228586
1990s,market,18.0,foreign,0.5302893495402392
1990s,market,19.0,government,0.5219187034324521
1990s,market,20.0,exchange,0.51484052034318
1990s,investment,1.0,stateowned,0.6406003017441881
1990s,investment,2.0,banking,0.6010094179799093
1990s,investment,3.0,stock,0.5723689097160384
1990s,investment,4.0,local,0.5673585652187014
1990s,investment,5.0,corp,0.5629013739966593
1990s,investment,6.0,company,0.5549585061642678
1990s,investment,7.0,monday,0.545108518538653
1990s,investment,8.0,performance,0.5388350608453656
1990s,investment,9.0,ltd,0.5273245274447678
1990s,investment,10.0,concern,0.5168831451337255
1990s,investment,11.0,credit,0.5068233885661456
1990s,investment,12.0,resume,0.505575036281201
1990s,investment,13.0,decline,0.49643743826303444
1990s,investment,14.0,market,0.49511797875828684
1990s,investment,15.0,apartment,0.49344686486859357
1990s,investment,16.0,citic,0.49262428398142355
1990s,investment,17.0,standard,0.48919652646827316
1990s,investment,18.0,systems,0.4761552698478422
1990s,investment,19.0,investors,0.46992645568233254
1990s,investment,20.0,stocks,0.4667029151672488
1990s,technology,1.0,restrictions,0.6648489880916137
1990s,technology,2.0,nuclear,0.6343999476312672
1990s,technology,3.0,weapons,0.6133110477795624
1990s,technology,4.0,selling,0.5752585129791066
1990s,technology,5.0,supercomputers,0.5673679903550066
1990s,technology,6.0,russia,0.5536846557309526
1990s,technology,7.0,ibm,0.5468306931822018
1990s,technology,8.0,proliferation,0.5415073987094319
1990s,technology,9.0,monetary,0.5369672632205567
1990s,technology,10.0,pakistan,0.5286299124336831
1990s,technology,11.0,sale,0.5284290281911762
1990s,technology,12.0,cia,0.5283360252941552
1990s,technology,13.0,computers,0.5229402538014661
1990s,technology,14.0,improve,0.5221195757139033
1990s,technology,15.0,arms,0.5105533833749982
1990s,technology,16.0,concerns,0.5066236860532677
1990s,technology,17.0,systems,0.500930392761596
1990s,technology,18.0,urges,0.5001335399233513
1990s,technology,19.0,approval,0.497289029632822
1990s,technology,20.0,action,0.48688468335482216
1990s,security,1.0,council,0.7424969054969439
1990s,security,2.0,military,0.5827555332460109
1990s,security,3.0,forces,0.5804330930560964
1990s,security,4.0,united,0.5732741116896702
1990s,security,5.0,contends,0.5687474017226817
1990s,security,6.0,nations,0.5440740492221368
1990s,security,7.0,broad,0.5395824850337837
1990s,security,8.0,iraq,0.529357816139991
1990s,security,9.0,rouge,0.525991672069009
1990s,security,10.0,system,0.520727961536977
1990s,security,11.0,deals,0.509379101178965
1990s,security,12.0,khmer,0.5039493741116309
1990s,security,13.0,un,0.5037021466807374
1990s,security,14.0,butler,0.5024460276833437
1990s,security,15.0,appears,0.5020079398764721
1990s,security,16.0,gives,0.49378530273113497
1990s,security,17.0,almost,0.48933245054933594
1990s,security,18.0,monitor,0.4890617474748663
1990s,security,19.0,sites,0.48625875577639066
1990s,security,20.0,activities,0.48351541068758086
1990s,taiwan,1.0,lee,0.7387207281077582
1990s,taiwan,2.0,taiwans,0.6947187885721449
1990s,taiwan,3.0,tenghui,0.6837594380381806
1990s,taiwan,4.0,mainland,0.6486035167293945
1990s,taiwan,5.0,despite,0.5698042460413663
1990s,taiwan,6.0,closer,0.5678656685155321
1990s,taiwan,7.0,independence,0.5617406025828667
1990s,taiwan,8.0,promise,0.5545681622599222
1990s,taiwan,9.0,continue,0.5544687757299825
1990s,taiwan,10.0,official,0.5519358980623956
1990s,taiwan,11.0,taking,0.5422843627313418
1990s,taiwan,12.0,resisting,0.5360685499679967
1990s,taiwan,13.0,edge,0.5340590691421174
1990s,taiwan,14.0,pressure,0.5339268607202605
1990s,taiwan,15.0,force,0.5257484497798435
1990s,taiwan,16.0,waiting,0.512079620293747
1990s,taiwan,17.0,political,0.5097795778968676
1990s,taiwan,18.0,discusses,0.5086184355475141
1990s,taiwan,19.0,deal,0.5011394317374036
1990s,taiwan,20.0,question,0.49002700783813835
1990s,chip,,term_not_in_vocabulary,
1990s,semiconductor,,term_not_in_vocabulary,
1990s,competition,1.0,newsstand,0.6870675457536313
1990s,competition,2.0,spends,0.6863999591411326
1990s,competition,3.0,layers,0.5805482899132567
1990s,competition,4.0,queen,0.5468556824489814
1990s,competition,5.0,cover,0.5428055597319564
1990s,competition,6.0,industries,0.4967936032705041
1990s,competition,7.0,far,0.49434757207616425
1990s,competition,8.0,december,0.47785201435409297
1990s,competition,9.0,private,0.4663628449986351
1990s,competition,10.0,white,0.4622950571017426
1990s,competition,11.0,southeast,0.45176012605845955
1990s,competition,12.0,coming,0.448767238761752
1990s,competition,13.0,many,0.44160854728433185
1990s,competition,14.0,read,0.4392675742385669
1990s,competition,15.0,neighbors,0.42981539011006864
1990s,competition,16.0,came,0.4271538086041958
1990s,competition,17.0,go,0.42569052294259624
1990s,competition,18.0,bigger,0.407553492950642
1990s,competition,19.0,willing,0.40440897611050564
1990s,competition,20.0,ad,0.4024567395862021
2000s,china,1.0,chinese,0.8154602108570929
2000s,china,2.0,us,0.7065081402819066
2000s,china,3.0,chinas,0.70052076562009
2000s,china,4.0,government,0.6914469155925826
2000s,china,5.0,says,0.6768726317674459
2000s,china,6.0,united_states,0.660938537802598
2000s,china,7.0,photo,0.6473221943402374
2000s,china,8.0,trade,0.6470796611194031
2000s,china,9.0,international,0.6403665158532472
2000s,china,10.0,first,0.6210438467721567
2000s,china,11.0,american,0.6201685163198734
2000s,china,12.0,years,0.6199395157153322
2000s,china,13.0,world,0.6161371922178078
2000s,china,14.0,officials,0.6017803636003045
2000s,china,15.0,said,0.6014120357664319
2000s,china,16.0,economy,0.5986855303808681
2000s,china,17.0,would,0.5927117113015052
2000s,china,18.0,last,0.5893557173836086
2000s,china,19.0,company,0.5859556475752259
2000s,china,20.0,many,0.5823997809212708
2000s,trade,1.0,international,0.7174808930443242
2000s,trade,2.0,world,0.716036841281134
2000s,trade,3.0,market,0.7092180703257873
2000s,trade,4.0,china,0.6470796611194031
2000s,trade,5.0,europe,0.6321875924717328
2000s,trade,6.0,us,0.6264352206242708
2000s,trade,7.0,economic,0.6064913979422021
2000s,trade,8.0,japan,0.6008170756761981
2000s,trade,9.0,countries,0.5922598498544109
2000s,trade,10.0,united_states,0.5915227699725757
2000s,trade,11.0,world_trade_organization,0.5897647911881027
2000s,trade,12.0,labor,0.5889472706840129
2000s,trade,13.0,major,0.5744732581443919
2000s,trade,14.0,imports,0.5736030373905817
2000s,trade,15.0,foreign,0.5680990976119455
2000s,trade,16.0,banks,0.5517994443383731
2000s,trade,17.0,relations,0.5485581448155494
2000s,trade,18.0,defense,0.5481382610543654
2000s,trade,19.0,bank,0.5464504569187201
2000s,trade,20.0,customs,0.5445323688501993
2000s,market,1.0,trade,0.7092180703257873
2000s,market,2.0,world,0.6560439005955009
2000s,market,3.0,currency,0.6267796738420495
2000s,market,4.0,investment,0.6231901573927051
2000s,market,5.0,customs,0.6213562411815583
2000s,market,6.0,banks,0.6159856391310845
2000s,market,7.0,year,0.6154315211438022
2000s,market,8.0,economy,0.6057281873414808
2000s,market,9.0,trading,0.5874842925660403
2000s,market,10.0,bank,0.5845311027281592
2000s,market,11.0,china,0.5800029610603403
2000s,market,12.0,futures,0.5771959974710896
2000s,market,13.0,tariff,0.5758381040775703
2000s,market,14.0,economic,0.5685792839446008
2000s,market,15.0,international,0.568120808143565
2000s,market,16.0,rates,0.5644268476751926
2000s,market,17.0,law,0.5622151780609698
2000s,market,18.0,stocks,0.5595646290246481
