year,date,decade,sample_window,headline,abstract,lead_paragraph,snippet,section,news_desk,type_of_material,document_type,word_count,keywords,url,text_without_keywords,text,tokens_without_keywords,tokens,clean_text,analysis_tokens,analysis_clean_text,text_token_count_without_keywords,text_token_count_with_keywords,quality_reasons,quality_score,quality_flag
1990,1990-01-01T05:00:00Z,1990s,Jan-Feb,Mixed Reviews for Hong Kong's Cultural Center,,,,Arts,Cultural Desk,News,article,1093.0,Hong Kong; Architecture; Culture; Nytravel; HONG KONG CULTURAL CENTER,https://www.nytimes.com/1990/01/01/arts/mixed-reviews-for-hong-kong-s-cultural-center.html,Mixed Reviews for Hong Kong's Cultural Center   ,Mixed Reviews for Hong Kong's Cultural Center    Hong Kong; Architecture; Culture; Nytravel; HONG KONG CULTURAL CENTER,"['mixed', 'reviews', 'hong_kongs', 'cultural', 'center']","['mixed', 'reviews', 'hong_kongs', 'cultural', 'center', 'hong_kong', 'architecture', 'culture', 'nytravel', 'hong_kong', 'cultural', 'center']",mixed reviews hong_kongs cultural center hong_kong architecture culture nytravel hong_kong cultural center,"['mixed', 'reviews', 'hong_kongs', 'cultural', 'center', 'hong_kong', 'architecture', 'culture', 'nytravel', 'hong_kong', 'cultural', 'center']",mixed reviews hong_kongs cultural center hong_kong architecture culture nytravel hong_kong cultural center,5,12,very_short_text_without_keywords; empty_or_nearly_empty_description; review_lifestyle_or_non_news_section,40,suspicious
1990,1990-01-01T05:00:00Z,1990s,Jan-Feb,UPHEAVAL IN THE EAST;   Jackson Says Panama Took Focus Off China,,,,World,Foreign Desk,News,article,245.0,"Panama; China; Bush, George; Jackson, Jesse L; United States International Relations; Politics and Government; PANAMA-INTERNATIONAL RELATIONS-US; China-International Relations-US; United States Armament and Defense",https://www.nytimes.com/1990/01/01/world/upheaval-in-the-east-jackson-says-panama-took-focus-off-china.html,UPHEAVAL IN THE EAST;   Jackson Says Panama Took Focus Off China   ,"UPHEAVAL IN THE EAST;   Jackson Says Panama Took Focus Off China    Panama; China; Bush, George; Jackson, Jesse L; United States International Relations; Politics and Government; PANAMA-INTERNATIONAL RELATIONS-US; China-International Relations-US; United States Armament and Defense","['upheaval', 'east', 'jackson', 'says', 'panama', 'took', 'focus', 'china']","['upheaval', 'east', 'jackson', 'says', 'panama', 'took', 'focus', 'china', 'panama', 'china', 'bush', 'george', 'jackson', 'jesse', 'united_states', 'international', 'relations', 'politics', 'government', 'panamainternational', 'relationsus', 'chinainternational', 'relationsus', 'united_states', 'armament', 'defense']",upheaval east jackson says panama took focus china panama china bush george jackson jesse united_states international relations politics government panamainternational relationsus chinainternational relationsus united_states armament defense,"['upheaval', 'east', 'jackson', 'panama', 'took', 'focus', 'panama', 'bush', 'george', 'jackson', 'jesse', 'united_states', 'international', 'relations', 'politics', 'government', 'panamainternational', 'relationsus', 'chinainternational', 'relationsus', 'united_states', 'armament', 'defense']",upheaval east jackson panama took focus panama bush george jackson jesse united_states international relations politics government panamainternational relationsus chinainternational relationsus united_states armament defense,8,26,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-01T05:00:00Z,1990s,Jan-Feb,"Washington Talk;   For Bush in 1989, the Focus Was Foreign Policy",,,,U.S.,National Desk,News,article,766.0,"Bush, George; United States International Relations",https://www.nytimes.com/1990/01/01/us/washington-talk-for-bush-in-1989-the-focus-was-foreign-policy.html,"Washington Talk;   For Bush in 1989, the Focus Was Foreign Policy   ","Washington Talk;   For Bush in 1989, the Focus Was Foreign Policy    Bush, George; United States International Relations","['washington', 'talk', 'bush', 'focus', 'foreign', 'policy']","['washington', 'talk', 'bush', 'focus', 'foreign', 'policy', 'bush', 'george', 'united_states', 'international', 'relations']",washington talk bush focus foreign policy bush george united_states international relations,"['washington', 'talk', 'bush', 'focus', 'foreign', 'policy', 'bush', 'george', 'united_states', 'international', 'relations']",washington talk bush focus foreign policy bush george united_states international relations,6,11,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,"10,000 in Hong Kong Rally for a Free China",,,,World,Foreign Desk,News,article,180.0,Hong Kong; China; Demonstrations and Riots,https://www.nytimes.com/1990/01/02/world/10000-in-hong-kong-rally-for-a-free-china.html,"10,000 in Hong Kong Rally for a Free China   ","10,000 in Hong Kong Rally for a Free China    Hong Kong; China; Demonstrations and Riots","['hong_kong', 'rally', 'free', 'china']","['hong_kong', 'rally', 'free', 'china', 'hong_kong', 'china', 'demonstrations', 'riots']",hong_kong rally free china hong_kong china demonstrations riots,"['hong_kong', 'rally', 'free', 'hong_kong', 'demonstrations', 'riots']",hong_kong rally free hong_kong demonstrations riots,4,8,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,"Beijing Journal;   On the Stifled Campuses, Faint Echoes of Dissent",,,,World,Foreign Desk,News,article,1150.0,China; Propaganda; Colleges and Universities; Demonstrations and Riots,https://www.nytimes.com/1990/01/02/world/beijing-journal-on-the-stifled-campuses-faint-echoes-of-dissent.html,"Beijing Journal;   On the Stifled Campuses, Faint Echoes of Dissent   ","Beijing Journal;   On the Stifled Campuses, Faint Echoes of Dissent    China; Propaganda; Colleges and Universities; Demonstrations and Riots","['beijing', 'journal', 'stifled', 'campuses', 'faint', 'echoes', 'dissent']","['beijing', 'journal', 'stifled', 'campuses', 'faint', 'echoes', 'dissent', 'china', 'propaganda', 'colleges', 'universities', 'demonstrations', 'riots']",beijing journal stifled campuses faint echoes dissent china propaganda colleges universities demonstrations riots,"['beijing', 'journal', 'stifled', 'campuses', 'faint', 'echoes', 'dissent', 'propaganda', 'colleges', 'universities', 'demonstrations', 'riots']",beijing journal stifled campuses faint echoes dissent propaganda colleges universities demonstrations riots,7,13,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,Continents In Motion: Patchwork Process,,,,Science,Science Desk,News,article,2000.0,CONTINENTS; Geology,https://www.nytimes.com/1990/01/02/science/continents-in-motion-patchwork-process.html,Continents In Motion: Patchwork Process   ,Continents In Motion: Patchwork Process    CONTINENTS; Geology,"['continents', 'motion', 'patchwork', 'process']","['continents', 'motion', 'patchwork', 'process', 'continents', 'geology']",continents motion patchwork process continents geology,"['continents', 'motion', 'patchwork', 'process', 'continents', 'geology']",continents motion patchwork process continents geology,4,6,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,"New Decade, New World, New Strategy",,,,Opinion,Editorial Desk,Op-Ed,article,939.0,Nineteen Hundred Nineties; United States International Relations,https://www.nytimes.com/1990/01/02/opinion/new-decade-new-world-new-strategy.html,"New Decade, New World, New Strategy   ","New Decade, New World, New Strategy    Nineteen Hundred Nineties; United States International Relations","['decade', 'world', 'strategy']","['decade', 'world', 'strategy', 'nineteen', 'hundred', 'nineties', 'united_states', 'international', 'relations']",decade world strategy nineteen hundred nineties united_states international relations,"['decade', 'world', 'strategy', 'nineteen', 'hundred', 'nineties', 'united_states', 'international', 'relations']",decade world strategy nineteen hundred nineties united_states international relations,3,9,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,Reason and Law Reject Our Panama Invasion;   Light From Europe,,,,Opinion,Editorial Desk,Letter,article,492.0,Terms not available,https://www.nytimes.com/1990/01/02/opinion/l-reason-and-law-reject-our-panama-invasion-light-from-europe-526790.html,Reason and Law Reject Our Panama Invasion;   Light From Europe   ,Reason and Law Reject Our Panama Invasion;   Light From Europe    Terms not available,"['reason', 'law', 'reject', 'panama', 'invasion', 'light', 'europe']","['reason', 'law', 'reject', 'panama', 'invasion', 'light', 'europe', 'terms', 'available']",reason law reject panama invasion light europe terms available,"['reason', 'law', 'reject', 'panama', 'invasion', 'light', 'europe', 'terms', 'available']",reason law reject panama invasion light europe terms available,7,9,very_short_text_without_keywords; empty_or_nearly_empty_description; letter_or_correction,40,suspicious
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,Steel Problems in China,,,,Business,Financial Desk,News,article,136.0,China; International Trade and World Market; Currency; Steel and Iron,https://www.nytimes.com/1990/01/02/business/steel-problems-in-china.html,Steel Problems in China   ,Steel Problems in China    China; International Trade and World Market; Currency; Steel and Iron,"['steel', 'problems', 'china']","['steel', 'problems', 'china', 'china', 'international', 'trade', 'world', 'market', 'currency', 'steel', 'iron']",steel problems china china international trade world market currency steel iron,"['steel', 'problems', 'international', 'trade', 'world', 'market', 'currency', 'steel', 'iron']",steel problems international trade world market currency steel iron,3,11,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-03T05:00:00Z,1990s,Jan-Feb,"Kawaguchi Journal;   Fellow Asians, Yes, but Where's the Fellowship?",,,,World,Foreign Desk,News,article,1130.0,"Japan; Bangladesh; Pakistan; KAWAGUCHI (JAPAN); Social Conditions and Trends; FOREIGN LABOR; LABOR; FOREIGN POPULATION AND FOREIGN DESCENT GROUPS; RACIAL RELATIONS; MINORITIES (ETHNIC, RACIAL, RELIGIOUS); Immigration and Emigration",https://www.nytimes.com/1990/01/03/world/kawaguchi-journal-fellow-asians-yes-but-where-s-the-fellowship.html,"Kawaguchi Journal;   Fellow Asians, Yes, but Where's the Fellowship?   ","Kawaguchi Journal;   Fellow Asians, Yes, but Where's the Fellowship?    Japan; Bangladesh; Pakistan; KAWAGUCHI (JAPAN); Social Conditions and Trends; FOREIGN LABOR; LABOR; FOREIGN POPULATION AND FOREIGN DESCENT GROUPS; RACIAL RELATIONS; MINORITIES (ETHNIC, RACIAL, RELIGIOUS); Immigration and Emigration","['kawaguchi', 'journal', 'fellow', 'asians', 'yes', 'wheres', 'fellowship']","['kawaguchi', 'journal', 'fellow', 'asians', 'yes', 'wheres', 'fellowship', 'japan', 'bangladesh', 'pakistan', 'kawaguchi', 'japan', 'social', 'conditions', 'trends', 'foreign', 'labor', 'labor', 'foreign', 'population', 'foreign', 'descent', 'groups', 'racial', 'relations', 'minorities', 'ethnic', 'racial', 'religious', 'immigration', 'emigration']",kawaguchi journal fellow asians yes wheres fellowship japan bangladesh pakistan kawaguchi japan social conditions trends foreign labor labor foreign population foreign descent groups racial relations minorities ethnic racial religious immigration emigration,"['kawaguchi', 'journal', 'fellow', 'asians', 'yes', 'wheres', 'fellowship', 'japan', 'bangladesh', 'pakistan', 'kawaguchi', 'japan', 'social', 'conditions', 'trends', 'foreign', 'labor', 'labor', 'foreign', 'population', 'foreign', 'descent', 'groups', 'racial', 'relations', 'minorities', 'ethnic', 'racial', 'religious', 'immigration', 'emigration']",kawaguchi journal fellow asians yes wheres fellowship japan bangladesh pakistan kawaguchi japan social conditions trends foreign labor labor foreign population foreign descent groups racial relations minorities ethnic racial religious immigration emigration,7,31,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
